Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,Profit_Margin,Is_Profitable,Day_of_Week,Month,ROAS,CTR,CPC
A1000,Data Analytics Course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,hyderabad,desktop,learn data analytics,7.159392789373814,1,Sabado,11,8.159392789373815,0.023121387283236993,2.2296153846153848
A1001,Data Analytics Course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-20,hyderabad,mobile,data analytics course,6.743036340158643,0,Miercoles,11,7.743036340158643,0.033875073428627375,1.2534104046242776
A1002,Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,2024-11-16,hyderabad,desktop,data analitics online,6.974074437788471,1,Sabado,11,7.974074437788471,0.019806338028169015,2.262888888888889
A1003,Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,hyderabad,tablet,data anaytics training,4.154422283935033,0,Martes,11,5.154422283935033,0.0445839874411303,1.673661971830986
A1004,Data Analytics Course,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,hyderabad,desktop,online data analytic,4.569167942827973,0,Viernes,11,5.569167942827973,0.046414757512645045,1.2557692307692307
A1005,Data Analytics Course,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,2024-11-16,hyderabad,mobile,data anaytics training,4.3988586443322255,0,Sabado,11,5.398858644332225,0.051641949152542374,1.249076923076923
A1006,Data Analytics Course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-06-11,hyderabad,tablet,data analytics course,5.896841751124943,0,Martes,6,6.896841751124942,0.025892857142857145,2.0499137931034483
A1007,Data Analytics Course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-24,hyderabad,tablet,analytics for data,5.57201341404991,0,Domingo,11,6.57201341404991,0.03636363636363636,1.2478804347826087
A1009,Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-12,hyderabad,mobile,online data analytic,4.509155155798266,0,Martes,11,5.509155155798266,0.04947839046199702,1.1251807228915662
A1010,Data Analytics Course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,hyderabad,desktop,learn data analytics,7.023987499472106,1,Jueves,11,8.023987499472106,0.018707167994072977,2.3444554455445545
A1011,Data Analytics Course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,hyderabad,desktop,online data analytic,4.4295598693061695,0,Viernes,11,5.4295598693061695,0.027954608358704676,2.0605940594059406
A1012,Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,hyderabad,desktop,data analitics online,9.240460010454782,1,Miercoles,11,10.240460010454782,0.03835532371893219,1.5304
A1013,Data Analytics Course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-12-11,hyderabad,mobile,data anaytics training,6.8231948327388405,0,Miercoles,12,7.8231948327388405,0.052378407268840195,1.0584693877551021
A1014,Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,hyderabad,desktop,data anaytics training,7.309471068129018,1,Lunes,11,8.309471068129017,0.041985618186035724,1.022596685082873
A1015,Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,hyderabad,desktop,data analytics course,7.7014725568942435,1,Viernes,11,8.701472556894243,0.01867789782091192,1.9773529411764705
